GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US17031010100,17031010100,"Census Tract 101, Cook County, Illinois",4444,444,4034,497,1726,304,2059,541,0,11,33,33,0,11,41,46,175,145,74,125,101,75,410,176,283,135,0,11,0,11,0,11,0,11,127,126,0,11,0,11,0,11
1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois",7197,787,5570,699,2217,489,2775,831,64,62,121,91,0,15,36,46,357,293,0,15,357,293,1627,588,1417,591,41,67,0,15,0,15,0,15,112,117,57,69,23,38,34,55
1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois",2487,301,1770,282,818,183,726,180,0,11,185,142,0,11,8,14,33,39,0,11,33,39,717,221,413,253,17,20,0,11,10,14,0,11,277,190,0,11,0,11,0,11
1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois",6413,540,5209,588,2930,376,1774,421,6,12,359,323,6,13,43,69,91,94,0,15,91,94,1204,442,929,411,64,77,0,15,0,15,0,15,179,186,32,36,32,36,0,15
1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois",5411,566,5021,552,3476,488,1125,543,0,15,295,170,0,15,0,15,125,79,48,52,77,54,390,170,285,129,53,76,0,15,0,15,0,15,40,40,12,19,12,19,0,15
1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois",4081,444,3685,400,1975,304,1335,276,0,11,211,153,0,11,55,56,109,66,0,11,109,66,396,229,207,138,29,35,0,11,0,11,0,11,160,206,0,11,0,11,0,11
1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois",2631,247,2462,253,1516,188,647,185,0,11,225,100,0,11,0,11,74,55,28,44,46,36,169,90,97,89,0,11,9,14,0,11,0,11,58,37,5,10,5,10,0,11
1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois",2047,348,1766,315,1238,308,140,72,0,11,282,130,0,11,0,11,106,65,8,12,98,64,281,221,263,217,11,17,0,11,0,11,0,11,7,11,0,11,0,11,0,11
1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois",6515,745,5023,687,3330,551,1367,483,0,15,138,92,0,15,0,15,188,128,0,15,188,128,1492,420,674,303,35,54,0,15,0,15,0,15,663,327,120,171,2,27,118,167
