GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17
Id,Id2,Geography,Total:,Not Hispanic or Latino:,Not Hispanic or Latino: - White alone,Not Hispanic or Latino: - Black or African American alone,Not Hispanic or Latino: - American Indian and Alaska Native alone,Not Hispanic or Latino: - Asian alone,Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino: - Some other race alone,Not Hispanic or Latino: - Two or more races,Hispanic or Latino:,Hispanic or Latino: - White alone,Hispanic or Latino: - Black or African American alone,Hispanic or Latino: - American Indian and Alaska Native alone,Hispanic or Latino: - Asian alone,Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino: - Some other race alone,Hispanic or Latino: - Two or more races
1580000US1714000031010100,1714000031010100,"Census Tract 101, Cook County (part), Chicago city, Illinois",5391,4615,1230,2914,36,162,0,6,267,776,296,106,35,7,0,332,0
1580000US1714000031010200,1714000031010200,"Census Tract 102, Cook County (part), Chicago city, Illinois",10706,6883,2185,3646,34,343,0,42,633,3823,2017,54,58,17,0,1571,106
1580000US1714000031010300,1714000031010300,"Census Tract 103, Cook County (part), Chicago city, Illinois",6649,5619,3111,2055,0,224,0,0,229,1030,529,0,0,0,0,316,185
1580000US1714000031010400,1714000031010400,"Census Tract 104, Cook County (part), Chicago city, Illinois",5325,4887,2879,801,0,958,0,41,208,438,258,14,0,7,0,126,33
1580000US1714000031010500,1714000031010500,"Census Tract 105, Cook County (part), Chicago city, Illinois",10944,9102,4788,2661,64,982,0,34,573,1842,981,50,0,0,0,750,61
1580000US1714000031010600,1714000031010600,"Census Tract 106, Cook County (part), Chicago city, Illinois",7178,5162,2435,2013,0,431,0,34,249,2016,1094,43,0,0,0,643,236
1580000US1714000031010700,1714000031010700,"Census Tract 107, Cook County (part), Chicago city, Illinois",10799,6241,2387,2974,0,500,0,0,380,4558,2921,89,8,0,0,1418,122
1580000US1714000031010800,1714000031010800,"Census Tract 108, Cook County (part), Chicago city, Illinois",5403,2486,750,1166,27,295,0,11,237,2917,1378,0,0,7,0,1354,178
1580000US1714000031010900,1714000031010900,"Census Tract 109, Cook County (part), Chicago city, Illinois",1089,836,478,176,24,131,0,0,27,253,43,0,0,0,0,196,14
1580000US1714000031020100,1714000031020100,"Census Tract 201, Cook County (part), Chicago city, Illinois",3634,2966,1456,848,25,454,0,6,177,668,255,0,0,0,0,413,0
1580000US1714000031020200,1714000031020200,"Census Tract 202, Cook County (part), Chicago city, Illinois",6349,5809,3955,373,17,1116,0,6,342,540,266,5,0,0,0,191,78
1580000US1714000031020300,1714000031020300,"Census Tract 203, Cook County (part), Chicago city, Illinois",8939,8284,6967,267,15,709,0,6,320,655,385,13,16,0,0,170,71
1580000US1714000031020400,1714000031020400,"Census Tract 204, Cook County (part), Chicago city, Illinois",4024,3256,2140,401,15,498,0,18,184,768,400,35,11,0,0,262,60
1580000US1714000031020500,1714000031020500,"Census Tract 205, Cook County (part), Chicago city, Illinois",7084,5642,1853,683,24,2624,0,11,447,1442,681,22,26,0,0,550,163
1580000US1714000031020600,1714000031020600,"Census Tract 206, Cook County (part), Chicago city, Illinois",10520,8918,6216,224,87,1880,0,24,487,1602,1069,37,0,0,0,461,35
1580000US1714000031020700,1714000031020700,"Census Tract 207 (part), Cook County (part), Chicago city, Illinois",8824,7845,4936,171,22,2172,0,33,511,979,601,0,0,0,0,210,168
1580000US1714000031020800,1714000031020800,"Census Tract 208, Cook County (part), Chicago city, Illinois",13163,10615,5558,501,17,3697,0,52,790,2548,1185,30,41,0,0,1057,235
1580000US1714000031020900,1714000031020900,"Census Tract 209, Cook County (part), Chicago city, Illinois",10662,8432,3244,1511,0,2986,0,91,600,2230,977,41,14,0,0,1074,124
1580000US1714000031030100,1714000031030100,"Census Tract 301, Cook County (part), Chicago city, Illinois",13456,11891,6317,3219,60,1728,0,91,476,1565,773,32,14,7,0,655,84
1580000US1714000031030200,1714000031030200,"Census Tract 302, Cook County (part), Chicago city, Illinois",5906,4951,3512,566,10,636,0,25,202,955,507,12,0,0,0,432,4
1580000US1714000031030300,1714000031030300,"Census Tract 303, Cook County (part), Chicago city, Illinois",3692,2350,1242,420,0,663,0,0,25,1342,462,0,0,0,0,803,77
1580000US1714000031030400,1714000031030400,"Census Tract 304, Cook County (part), Chicago city, Illinois",3163,1913,1118,193,0,419,0,13,170,1250,465,6,10,0,0,671,98
1580000US1714000031030500,1714000031030500,"Census Tract 305, Cook County (part), Chicago city, Illinois",7611,4751,2981,827,18,691,0,0,234,2860,1344,38,35,19,0,1186,238
1580000US1714000031030600,1714000031030600,"Census Tract 306, Cook County (part), Chicago city, Illinois",10001,8685,4351,2785,32,1042,0,40,435,1316,744,30,0,0,0,524,18
1580000US1714000031030700,1714000031030700,"Census Tract 307, Cook County (part), Chicago city, Illinois",10044,8864,5200,2208,32,1035,0,62,327,1180,540,107,0,0,0,479,54
1580000US1714000031030800,1714000031030800,"Census Tract 308, Cook County (part), Chicago city, Illinois",4712,4075,3202,204,0,571,0,29,69,637,295,21,0,0,0,314,7
