Id,Id2,Geography,Total:,Income in 1999 below poverty level:,Income in 1999 below poverty level: - Under 5 years,Income in 1999 below poverty level: - 5 years,Income in 1999 below poverty level: - 6 to 11 years,Income in 1999 below poverty level: - 12 to 17 years,Income in 1999 below poverty level: - 18 to 64 years,Income in 1999 below poverty level: - 65 to 74 years,Income in 1999 below poverty level: - 75 years and over,Income in 1999 at or above poverty level:,Income in 1999 at or above poverty level: - Under 5 years,Income in 1999 at or above poverty level: - 5 years,Income in 1999 at or above poverty level: - 6 to 11 years,Income in 1999 at or above poverty level: - 12 to 17 years,Income in 1999 at or above poverty level: - 18 to 64 years,Income in 1999 at or above poverty level: - 65 to 74 years,Income in 1999 at or above poverty level: - 75 years and over
1400000US17001000100,17001000100,"Census Tract 1, Adams County, Illinois",4265,232,11,0,32,0,126,0,63,4033,244,64,231,295,2173,534,492
1400000US17001000201,17001000201,"Census Tract 2.01, Adams County, Illinois",1938,134,16,0,4,0,102,6,6,1804,79,38,172,151,1039,178,147
1400000US17001000202,17001000202,"Census Tract 2.02, Adams County, Illinois",2634,300,5,0,16,29,200,7,43,2334,155,21,154,200,1441,168,195
1400000US17001000400,17001000400,"Census Tract 4, Adams County, Illinois",3750,993,122,18,150,111,525,19,48,2757,154,35,272,256,1657,242,141
1400000US17001000500,17001000500,"Census Tract 5, Adams County, Illinois",2272,430,52,7,33,34,256,35,13,1842,112,26,130,148,1118,129,179
1400000US17001000600,17001000600,"Census Tract 6, Adams County, Illinois",3949,383,50,8,40,19,255,11,0,3566,198,44,275,367,2127,271,284
1400000US17001000700,17001000700,"Census Tract 7, Adams County, Illinois",1406,353,29,0,34,12,184,36,58,1053,50,6,63,24,604,127,179
1400000US17001000800,17001000800,"Census Tract 8, Adams County, Illinois",2536,660,52,12,83,79,395,31,8,1876,170,20,171,140,1139,96,140
1400000US17001000900,17001000900,"Census Tract 9, Adams County, Illinois",2739,331,47,0,16,44,200,6,18,2408,141,41,179,218,1489,162,178
1400000US17001001001,17001001001,"Census Tract 10.01, Adams County, Illinois",3512,171,20,0,11,28,99,7,6,3341,198,44,296,295,2018,242,248
1400000US17001001002,17001001002,"Census Tract 10.02, Adams County, Illinois",3063,211,0,0,29,34,76,22,50,2852,182,26,238,193,1524,273,416
1400000US17001001100,17001001100,"Census Tract 11, Adams County, Illinois",6425,349,64,8,27,16,187,15,32,6076,278,61,513,637,3538,551,498
1400000US17001010400,17001010400,"Census Tract 104, Adams County, Illinois",3558,105,8,0,9,17,44,13,14,3453,223,48,327,367,2082,259,147
1400000US17001010500,17001010500,"Census Tract 105, Adams County, Illinois",3008,156,0,0,21,38,70,13,14,2852,163,44,202,219,1673,361,190
1400000US17001010600,17001010600,"Census Tract 106, Adams County, Illinois",6315,617,70,11,83,35,352,38,28,5698,348,113,511,611,3483,424,208
1400000US17003957600,17003957600,"Census Tract 9576, Alexander County, Illinois",2748,622,52,11,86,98,322,22,31,2126,83,16,155,167,1258,321,126
1400000US17003957800,17003957800,"Census Tract 9578, Alexander County, Illinois",2100,602,96,5,47,101,283,21,49,1498,43,2,102,170,885,113,183
1400000US17003957900,17003957900,"Census Tract 9579, Alexander County, Illinois",1826,685,40,19,82,137,325,32,50,1141,136,17,96,71,620,69,132
1400000US17005951200,17005951200,"Census Tract 9512, Bond County, Illinois",2962,257,13,3,26,34,148,10,23,2705,156,44,244,251,1612,222,176
1400000US17005951300,17005951300,"Census Tract 9513, Bond County, Illinois",4674,556,67,9,49,42,295,55,39,4118,254,61,265,351,2327,383,477
1400000US17007010100,17007010100,"Census Tract 101, Boone County, Illinois",7635,986,149,15,147,63,530,44,38,6649,580,97,685,602,4030,338,317
1400000US17007010200,17007010200,"Census Tract 102, Boone County, Illinois",5892,577,86,8,71,44,309,12,47,5315,349,115,571,467,3119,338,356
1400000US17007010300,17007010300,"Census Tract 103, Boone County, Illinois",5639,486,82,0,74,33,251,5,41,5153,324,88,606,432,3106,382,215
1400000US17007010400,17007010400,"Census Tract 104, Boone County, Illinois",4479,134,4,0,8,10,100,5,7,4345,256,95,402,335,2630,339,288
1400000US17007010500,17007010500,"Census Tract 105, Boone County, Illinois",6992,279,25,6,33,69,128,18,0,6713,380,113,745,727,4263,315,170
1400000US17007010600,17007010600,"Census Tract 106, Boone County, Illinois",10639,430,62,13,82,33,212,22,6,10209,788,162,1145,1072,6122,576,344
1400000US17009970400,17009970400,"Census Tract 9704, Brown County, Illinois",2720,193,13,4,24,17,90,22,23,2527,112,20,231,235,1546,203,180
1400000US17009970500,17009970500,"Census Tract 9705, Brown County, Illinois",2246,228,15,0,36,12,128,9,28,2018,134,11,170,181,1165,176,181
1400000US17011964900,17011964900,"Census Tract 9649, Bureau County, Illinois",2911,201,23,12,17,0,128,3,18,2710,149,25,229,271,1645,213,178
1400000US17011965100,17011965100,"Census Tract 9651, Bureau County, Illinois",4048,214,18,8,35,18,112,9,14,3834,232,62,319,305,2235,324,357
1400000US17011965200,17011965200,"Census Tract 9652, Bureau County, Illinois",3457,214,12,0,25,22,115,0,40,3243,154,15,247,276,1959,291,301
