GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017
Id,Id2,Geography,Total:,Not Hispanic or Latino:,Not Hispanic or Latino: - White alone,Not Hispanic or Latino: - Black or African American alone,Not Hispanic or Latino: - American Indian and Alaska Native alone,Not Hispanic or Latino: - Asian alone,Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino: - Some Other Race alone,Not Hispanic or Latino: - Two or More Races,Hispanic or Latino:,Hispanic or Latino: - White alone,Hispanic or Latino: - Black or African American alone,Hispanic or Latino: - American Indian and Alaska Native alone,Hispanic or Latino: - Asian alone,Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino: - Some Other Race alone,Hispanic or Latino: - Two or More Races
1580000US1714000031010100,1714000031010100,"Census Tract 101, Cook County (part), Chicago city, Illinois",4854,4238,1501,2390,13,150,0,22,162,616,309,47,20,0,1,181,58
1580000US1714000031010201,1714000031010201,"Census Tract 102.01, Cook County (part), Chicago city, Illinois",6450,4401,1501,2291,28,299,6,47,229,2049,811,59,20,0,0,1053,106
1580000US1714000031010202,1714000031010202,"Census Tract 102.02, Cook County (part), Chicago city, Illinois",2818,2029,839,935,14,139,0,8,94,789,398,18,4,4,1,327,37
1580000US1714000031010300,1714000031010300,"Census Tract 103, Cook County (part), Chicago city, Illinois",6236,5067,2836,1691,13,332,16,18,161,1169,431,31,8,14,0,616,69
1580000US1714000031010400,1714000031010400,"Census Tract 104 (part), Cook County (part), Chicago city, Illinois",5042,4562,3097,707,10,551,4,22,171,480,244,22,7,11,1,144,51
1580000US1714000031010501,1714000031010501,"Census Tract 105.01, Cook County (part), Chicago city, Illinois",4091,3585,1755,1271,14,381,4,27,133,506,263,29,9,2,1,164,38
1580000US1714000031010502,1714000031010502,"Census Tract 105.02, Cook County (part), Chicago city, Illinois",3101,2761,1672,744,10,239,1,8,87,340,148,32,21,0,0,110,29
1580000US1714000031010503,1714000031010503,"Census Tract 105.03, Cook County (part), Chicago city, Illinois",2290,2045,1326,301,9,331,2,2,74,245,126,2,10,0,0,84,23
1580000US1714000031010600,1714000031010600,"Census Tract 106, Cook County (part), Chicago city, Illinois",6097,4944,2947,1493,8,327,1,18,150,1153,512,49,25,2,0,510,55
1580000US1714000031010701,1714000031010701,"Census Tract 107.01, Cook County (part), Chicago city, Illinois",3864,2401,1371,733,3,200,2,11,81,1463,754,28,12,4,0,607,58
1580000US1714000031010702,1714000031010702,"Census Tract 107.02, Cook County (part), Chicago city, Illinois",5143,2720,1170,1108,13,313,2,14,100,2423,1211,47,23,10,1,933,198
1580000US1714000031020100,1714000031020100,"Census Tract 201, Cook County (part), Chicago city, Illinois",3965,3013,1124,1158,15,601,0,16,99,952,405,24,13,7,4,428,71
1580000US1714000031020200,1714000031020200,"Census Tract 202, Cook County (part), Chicago city, Illinois",6676,5733,3602,593,2,1389,0,6,141,943,467,25,6,5,1,366,73
1580000US1714000031020301,1714000031020301,"Census Tract 203.01, Cook County (part), Chicago city, Illinois",4750,4461,3792,100,14,468,0,9,78,289,173,6,1,2,0,82,25
1580000US1714000031020302,1714000031020302,"Census Tract 203.02, Cook County (part), Chicago city, Illinois",4650,3698,2625,451,9,502,0,16,95,952,426,11,3,2,0,459,51
1580000US1714000031020400,1714000031020400,"Census Tract 204, Cook County (part), Chicago city, Illinois",4168,3181,1840,705,14,522,0,8,92,987,426,13,13,8,0,450,77
1580000US1714000031020500,1714000031020500,"Census Tract 205, Cook County (part), Chicago city, Illinois",6214,4686,1589,1190,28,1675,0,23,181,1528,578,31,26,9,1,792,91
1580000US1714000031020601,1714000031020601,"Census Tract 206.01, Cook County (part), Chicago city, Illinois",6353,5343,3455,294,23,1315,0,31,225,1010,453,10,15,2,1,453,76
1580000US1714000031020602,1714000031020602,"Census Tract 206.02, Cook County (part), Chicago city, Illinois",4340,3201,1556,310,3,1212,0,9,111,1139,528,16,8,3,5,498,81
1580000US1714000031020701,1714000031020701,"Census Tract 207.01, Cook County (part), Chicago city, Illinois",1704,1477,974,37,7,416,0,1,42,227,114,5,0,2,0,78,28
1580000US1714000031020702,1714000031020702,"Census Tract 207.02 (part), Cook County (part), Chicago city, Illinois",7194,6020,3126,526,18,2077,0,4,269,1174,492,30,14,13,0,547,78
1580000US1714000031020801,1714000031020801,"Census Tract 208.01, Cook County (part), Chicago city, Illinois",5458,3991,2294,366,10,1169,2,29,121,1467,651,20,22,15,0,681,78
1580000US1714000031020802,1714000031020802,"Census Tract 208.02, Cook County (part), Chicago city, Illinois",6963,5190,1668,711,19,2547,0,23,222,1773,679,35,24,14,0,938,83
1580000US1714000031020901,1714000031020901,"Census Tract 209.01, Cook County (part), Chicago city, Illinois",5221,3695,1300,1018,22,1173,1,38,143,1526,539,43,14,9,0,819,102
1580000US1714000031020902,1714000031020902,"Census Tract 209.02, Cook County (part), Chicago city, Illinois",4286,3552,1761,556,5,1118,0,12,100,734,334,8,5,5,2,336,44
1580000US1714000031030101,1714000031030101,"Census Tract 301.01 (part), Cook County (part), Chicago city, Illinois",3893,3349,1772,972,6,501,0,11,87,544,245,24,14,4,0,219,38
1580000US1714000031030102,1714000031030102,"Census Tract 301.02 (part), Cook County (part), Chicago city, Illinois",3204,2857,1731,694,5,325,1,15,86,347,167,15,8,5,0,125,27
1580000US1714000031030103,1714000031030103,"Census Tract 301.03 (part), Cook County (part), Chicago city, Illinois",1928,1746,1048,338,4,302,0,7,47,182,102,3,0,1,0,66,10
1580000US1714000031030104,1714000031030104,"Census Tract 301.04 (part), Cook County (part), Chicago city, Illinois",3681,3399,2222,399,6,690,1,2,79,282,176,10,2,5,0,69,20
1580000US1714000031030200,1714000031030200,"Census Tract 302, Cook County (part), Chicago city, Illinois",5369,4626,3587,446,9,425,2,25,132,743,331,22,29,7,4,306,44
