month,day,sunrise_hour,sunrise_minute,sunset_hour,sunset_minute
1,1,7,18,16,30
1,2,7,18,16,31
1,3,7,18,16,32
1,4,7,18,16,33
1,5,7,18,16,34
1,6,7,17,16,35
1,7,7,17,16,36
1,8,7,17,16,37
1,9,7,17,16,38
1,10,7,17,16,39
1,11,7,16,16,40
1,12,7,16,16,41
1,13,7,16,16,42
1,14,7,15,16,43
1,15,7,15,16,45
1,16,7,14,16,46
1,17,7,14,16,47
1,18,7,13,16,48
1,19,7,12,16,49
1,20,7,12,16,51
1,21,7,11,16,52
1,22,7,10,16,53
1,23,7,10,16,54
1,24,7,9,16,56
1,25,7,8,16,57
1,26,7,7,16,58
1,27,7,6,16,59
1,28,7,5,17,1
1,29,7,5,17,2
1,30,7,4,17,3
1,31,7,3,17,4
2,1,7,2,17,6
2,2,7,1,17,7
2,3,6,59,17,8
2,4,6,58,17,10
2,5,6,57,17,11
2,6,6,56,17,12
2,7,6,55,17,13
2,8,6,54,17,15
2,9,6,52,17,16
2,10,6,51,17,17
2,11,6,50,17,19
2,12,6,49,17,20
2,13,6,47,17,21
2,14,6,46,17,22
2,15,6,45,17,24
2,16,6,43,17,25
2,17,6,42,17,26
2,18,6,40,17,27
2,19,6,39,17,29
2,20,6,37,17,30
2,21,6,36,17,31
2,22,6,34,17,32
2,23,6,33,17,34
2,24,6,31,17,35
2,25,6,30,17,36
2,26,6,28,17,37
2,27,6,27,17,38
2,28,6,25,17,40
2,29,6,25,17,40
3,1,6,24,17,41
3,2,6,22,17,42
3,3,6,20,17,43
3,4,6,19,17,44
3,5,6,17,17,46
3,6,6,15,17,47
3,7,6,14,17,48
3,8,6,12,17,49
3,9,6,11,17,50
3,10,7,9,18,51
3,11,7,7,18,52
3,12,7,6,18,54
3,13,7,4,18,55
3,14,7,2,18,56
3,15,7,0,18,57
3,16,6,59,18,58
3,17,6,57,18,59
3,18,6,55,19,0
3,19,6,54,19,1
3,20,6,52,19,3
3,21,6,50,19,4
3,22,6,48,19,5
3,23,6,47,19,6
3,24,6,45,19,7
3,25,6,43,19,8
3,26,6,42,19,9
3,27,6,40,19,10
3,28,6,38,19,12
3,29,6,37,19,13
3,30,6,35,19,14
3,31,6,33,19,15
4,1,6,31,19,16
4,2,6,30,19,17
4,3,6,28,19,18
4,4,6,26,19,19
4,5,6,25,19,20
4,6,6,23,19,21
4,7,6,21,19,23
4,8,6,20,19,24
4,9,6,18,19,25
4,10,6,16,19,26
4,11,6,15,19,27
4,12,6,13,19,28
4,13,6,12,19,29
4,14,6,10,19,30
4,15,6,8,19,31
4,16,6,7,19,32
4,17,6,5,19,34
4,18,6,4,19,35
4,19,6,2,19,36
4,20,6,1,19,37
4,21,5,59,19,38
4,22,5,58,19,39
4,23,5,56,19,40
4,24,5,55,19,41
4,25,5,53,19,42
4,26,5,52,19,43
4,27,5,51,19,45
4,28,5,49,19,46
4,29,5,48,19,47
4,30,5,46,19,48
5,1,5,45,19,49
5,2,5,44,19,50
5,3,5,43,19,51
5,4,5,41,19,52
5,5,5,40,19,53
5,6,5,39,19,54
5,7,5,38,19,55
5,8,5,36,19,56
5,9,5,35,19,58
5,10,5,34,19,59
5,11,5,33,20,0
5,12,5,32,20,1
5,13,5,31,20,2
5,14,5,30,20,3
5,15,5,29,20,4
5,16,5,28,20,5
5,17,5,27,20,6
5,18,5,26,20,7
5,19,5,25,20,8
5,20,5,25,20,9
5,21,5,24,20,10
5,22,5,23,20,11
5,23,5,22,20,11
5,24,5,21,20,12
5,25,5,21,20,13
5,26,5,20,20,14
5,27,5,20,20,15
5,28,5,19,20,16
5,29,5,18,20,17
5,30,5,18,20,17
5,31,5,17,20,18
6,1,5,17,20,19
6,2,5,16,20,20
6,3,5,16,20,20
6,4,5,16,20,21
6,5,5,15,20,22
6,6,5,15,20,22
6,7,5,15,20,23
6,8,5,15,20,24
6,9,5,15,20,24
6,10,5,14,20,25
6,11,5,14,20,25
6,12,5,14,20,26
6,13,5,14,20,26
6,14,5,14,20,27
6,15,5,14,20,27
6,16,5,14,20,27
6,17,5,14,20,28
6,18,5,14,20,28
6,19,5,15,20,28
6,20,5,15,20,29
6,21,5,15,20,29
6,22,5,15,20,29
6,23,5,16,20,29
6,24,5,16,20,29
6,25,5,16,20,29
6,26,5,17,20,29
6,27,5,17,20,29
6,28,5,18,20,29
6,29,5,18,20,29
6,30,5,18,20,29
7,1,5,19,20,29
7,2,5,20,20,29
7,3,5,20,20,29
7,4,5,21,20,28
7,5,5,21,20,28
7,6,5,22,20,28
7,7,5,23,20,27
7,8,5,23,20,27
7,9,5,24,20,27
7,10,5,25,20,26
7,11,5,26,20,26
7,12,5,26,20,25
7,13,5,27,20,25
7,14,5,28,20,24
7,15,5,29,20,23
7,16,5,30,20,23
7,17,5,30,20,22
7,18,5,31,20,21
7,19,5,32,20,21
7,20,5,33,20,20
7,21,5,34,20,19
7,22,5,35,20,18
7,23,5,36,20,17
7,24,5,37,20,16
7,25,5,38,20,15
7,26,5,39,20,14
7,27,5,40,20,13
7,28,5,41,20,12
