RD,ID,Date,IUCR,IUCR Primary Description,Weapon Used,Status,Address,City,Beat,District
HS100027,7296966,01/01/10,041A,BATTERY,FIREARM,1-SUSPENDED,78XX S WOOD ST,CHICAGO,0611,06
HS100196,7297039,01/01/10,041A,BATTERY,FIREARM,1-SUSPENDED,22XX W ARTHUR AVE,CHICAGO,2412,24
HS100445,7297142,01/01/10,041A,BATTERY,FIREARM,1-SUSPENDED,6XX N TRUMBULL AVE,CHICAGO,1121,11
HS100912,7297500,01/01/10,041A,BATTERY,FIREARM,1-SUSPENDED,9XX N HAMLIN AVE,CHICAGO,1112,11
HS103194,7299534,01/03/10,110,HOMICIDE,FIREARM,3-CLEARED CLOSED,77XX S CHAMPLAIN AVE,CHICAGO,0624,06
HS104234,7300671,01/04/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,71XX S VINCENNES AVE,CHICAGO,0731,07
HS104874,7301325,01/04/10,110,HOMICIDE,FIREARM,3-CLEARED CLOSED,29XX W 61ST ST,CHICAGO,0823,08
HS105176,7301481,01/04/10,041A,BATTERY,FIREARM,1-SUSPENDED,17XX W 45TH ST,CHICAGO,0914,09
HS105401,7301616,01/05/10,033A,ROBBERY,FIREARM,3-CLEARED CLOSED,59XX W AUGUSTA BLVD,CHICAGO,1511,15
HS105845,7303093,01/05/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,64XX S MAPLEWOOD AVE,CHICAGO,0825,08
HS106092,7303526,01/05/10,480,BATTERY,FIREARM,3-CLEARED CLOSED,1XX W 109TH ST,CHICAGO,0513,05
HS106271,7302974,01/05/10,041A,BATTERY,FIREARM,1-SUSPENDED,67XX S ST LAWRENCE AVE,CHICAGO,0321,03
HS106380,7302943,01/05/10,041A,BATTERY,FIREARM,1-SUSPENDED,8XX N MOHAWK ST,CHICAGO,1823,18
HS106614,7303083,01/05/10,041A,BATTERY,FIREARM,1-SUSPENDED,48XX W FULTON ST,CHICAGO,1532,15
HS107693,7305198,01/06/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,10XX N LONG AVE,CHICAGO,1524,15
HS108226,7305095,01/06/10,041A,BATTERY,FIREARM,4-CLEARED OPEN,31XX N LONG AVE,CHICAGO,2514,25
HS108483,7304813,01/06/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,41XX W 27TH ST,CHICAGO,1031,10
HS108497,7304773,01/06/10,041A,BATTERY,FIREARM,1-SUSPENDED,79XX S BRANDON AVE,CHICAGO,0422,04
HS108656,7304916,01/07/10,110,HOMICIDE,FIREARM,0-OPEN ASSIGNED,44XX W CHICAGO AVE,CHICAGO,1111,11
HS116692,7312752,01/07/10,110,HOMICIDE,FIREARM,5-EX CLEARED CLOSED,76XX S PRAIRIE AVE,CHICAGO,0623,06
HS109979,7306448,01/07/10,033A,ROBBERY,FIREARM,1-SUSPENDED,28XX W MARQUETTE RD,CHICAGO,0831,08
HS110088,7306192,01/07/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,69XX S ST LAWRENCE AVE,CHICAGO,0322,03
HS110516,7307060,01/08/10,041A,BATTERY,FIREARM,1-SUSPENDED,67XX S JEFFERY BLVD,CHICAGO,0331,03
HS111525,7307590,01/08/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,18XX S DRAKE AVE,CHICAGO,1021,10
HS111666,7307568,01/08/10,041A,BATTERY,FIREARM,1-SUSPENDED,51XX W KINZIE ST,CHICAGO,1532,15
HS111814,7309901,01/09/10,041A,BATTERY,FIREARM,1-SUSPENDED,3XX E 130TH ST,CHICAGO,0533,05
HS112109,7307981,01/09/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,8XX N TRUMBULL AVE,CHICAGO,1121,11
HS112636,7308290,01/09/10,041A,BATTERY,FIREARM,6-EX CLEARED OPEN,12XX N PARKSIDE AVE,CHICAGO,2531,25
HS112924,7308439,01/09/10,041A,BATTERY,FIREARM,1-SUSPENDED,17XX N KARLOV AVE,CHICAGO,2534,25
HS113945,7309178,01/10/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,51XX S WESTERN BLVD,CHICAGO,0915,09
HS113962,7309230,01/10/10,488,BATTERY,FIREARM,5-EX CLEARED CLOSED,14XX N ARTESIAN AVE,CHICAGO,1423,14
HS114117,7309366,01/10/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,78XX S SOUTH SHORE DR,CHICAGO,0421,04
HS114304,7309430,01/10/10,041A,BATTERY,FIREARM,1-SUSPENDED,32XX S LITUANICA AVE,CHICAGO,0924,09
HS115397,7311391,01/11/10,041A,BATTERY,FIREARM,1-SUSPENDED,13XX N HAMLIN AVE,CHICAGO,2535,25
HS115563,7310897,01/11/10,041A,BATTERY,FIREARM,1-SUSPENDED,17XX W 63RD ST,CHICAGO,0714,07
HS115888,7311083,01/11/10,041A,BATTERY,FIREARM,1-SUSPENDED,13XX W 18TH PL,CHICAGO,1233,12
HS117175,7312749,01/12/10,041A,BATTERY,FIREARM,1-SUSPENDED,9XX W 32ND ST,CHICAGO,0924,09
HS119935,7315912,01/13/10,041A,BATTERY,FIREARM,1-SUSPENDED,57XX S PAULINA ST,CHICAGO,0715,07
HS118133,7315080,01/13/10,041A,BATTERY,FIREARM,1-SUSPENDED,11XX N LAWNDALE AVE,CHICAGO,1112,11
HS118630,7314399,01/13/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,82XX S COLES AVE,CHICAGO,0424,04
HS118767,7314655,01/13/10,110,HOMICIDE,FIREARM,0-OPEN ASSIGNED,83XX S BUFFALO AVE,CHICAGO,0424,04
HS118983,7314614,01/13/10,031A,ROBBERY,FIREARM,1-SUSPENDED,68XX S TALMAN AVE,CHICAGO,0831,08
HS119205,7314814,01/14/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,20XX N PULASKI RD,CHICAGO,2525,25
HS119266,7318551,01/14/10,041A,BATTERY,FIREARM,1-SUSPENDED,21XX S LAFLIN ST,CHICAGO,1222,12
HS120189,7316338,01/14/10,041A,BATTERY,FIREARM,1-SUSPENDED,61XX S ST LAWRENCE AVE,CHICAGO,0313,03
HS120797,7316525,01/14/10,041A,BATTERY,FIREARM,1-SUSPENDED,23XX S KOSTNER AVE,CHICAGO,1013,10
HS120957,7316731,01/15/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,37XX W CULLOM AVE,CHICAGO,1723,17
HS121694,7317906,01/15/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,21XX N LAVERGNE AVE,CHICAGO,2522,25
HS121742,7317918,01/15/10,041A,BATTERY,FIREARM,1-SUSPENDED,24XX W LITHUANIAN PLAZA CT,CHICAGO,0832,08
HS121793,7318015,01/15/10,041A,BATTERY,FIREARM,3-CLEARED CLOSED,11XX N PULASKI RD,CHICAGO,1112,11
HS121912,7317921,01/15/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,4XX E 110TH PL,CHICAGO,0513,05
HS122300,7318136,01/15/10,031B,ROBBERY,FIREARM,1-SUSPENDED,11XX W GARFIELD BLVD,CHICAGO,0712,07
HS122584,7318362,01/16/10,041A,BATTERY,FIREARM,1-SUSPENDED,15XX N BOSWORTH AVE,CHICAGO,1433,14
HS122637,7318396,01/16/10,331,ROBBERY,FIREARM,4-CLEARED OPEN,20XX W 63RD ST,CHICAGO,0726,07
HS123223,7319005,01/16/10,041A,BATTERY,FIREARM,5-EX CLEARED CLOSED,26XX W 64TH ST,CHICAGO,0825,08
HS123276,7318950,01/16/10,041A,BATTERY,FIREARM,1-SUSPENDED,71XX S STATE ST,CHICAGO,0323,03
HS123494,7319080,01/16/10,041A,BATTERY,FIREARM,1-SUSPENDED,94XX S JEFFERY AVE,CHICAGO,0413,04
HS123566,7319085,01/16/10,041A,BATTERY,FIREARM,1-SUSPENDED,4XX E 61ST ST,CHICAGO,0313,03
HS123972,7319347,01/16/10,041A,BATTERY,FIREARM,1-SUSPENDED,93XX S ESCANABA AVE,CHICAGO,0423,04
HS124086,7319411,01/17/10,041A,BATTERY,FIREARM,1-SUSPENDED,80XX S DAMEN AVE,CHICAGO,0611,06
