crime_ucr,crime_iucr,crime_primary_type,crime_description,notes,n,crime_group_large_inferred,crime_group_inferred,crime_index,weapon_inferred,shooting_ind_inferred,victim_type_inferred,weapon_firearm_ind_inferred,drug_type_inferred,drug_crime_class_inferred
9,1025,ARSON,AGGRAVATED,iucr description: Aggravated Ð Caused Bodily Harm,1895,Part I Violent,Arson,I,Other Weapon,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
04A,550,ASSAULT,AGGRAVATED PO: HANDGUN,"Assault means without lawful authority, the offender engages in conduct which places victim in reasonable apprehension of receiving a battery. - which means no battery",997,Part I Violent,Assault,I,Firearm,Firearm - Discharge Unspecified,Police Officer,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
04A,551,ASSAULT,AGGRAVATED PO: OTHER FIREARM,"Assault means without lawful authority, the offender engages in conduct which places victim in reasonable apprehension of receiving a battery. - which means no battery",82,Part I Violent,Assault,I,Firearm,Firearm - Discharge Unspecified,Police Officer,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
04A,555,ASSAULT,AGG PRO.EMP: HANDGUN,"Assault means without lawful authority, the offender engages in conduct which places victim in reasonable apprehension of receiving a battery. - which means no battery",368,Part I Violent,Assault,I,Firearm,Firearm - Discharge Unspecified,Protected Employee,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
04A,556,ASSAULT,AGG PRO.EMP: OTHER FIREARM,"Assault means without lawful authority, the offender engages in conduct which places victim in reasonable apprehension of receiving a battery. - which means no battery",86,Part I Violent,Assault,I,Firearm,Firearm - Discharge Unspecified,Protected Employee,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
04A,051A,ASSAULT,AGGRAVATED: HANDGUN,"Assault means without lawful authority, the offender engages in conduct which places victim in reasonable apprehension of receiving a battery. - which means no battery",48216,Part I Violent,Assault,I,Firearm,Firearm - Discharge Unspecified,General,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
04A,051B,ASSAULT,AGGRAVATED: OTHER FIREARM,"Assault means without lawful authority, the offender engages in conduct which places victim in reasonable apprehension of receiving a battery. - which means no battery",2060,Part I Violent,Assault,I,Firearm,Firearm - Discharge Unspecified,General,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
04A,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,"Assault means without lawful authority, the offender engages in conduct which places victim in reasonable apprehension of receiving a battery. - which means no battery",31013,Part I Violent,Assault,I,Knife/Sharp Object,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
04A,552,ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,"Assault means without lawful authority, the offender engages in conduct which places victim in reasonable apprehension of receiving a battery. - which means no battery",556,Part I Violent,Assault,I,Knife/Sharp Object,No Shooting,Police Officer,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
04A,557,ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,"Assault means without lawful authority, the offender engages in conduct which places victim in reasonable apprehension of receiving a battery. - which means no battery",533,Part I Violent,Assault,I,Knife/Sharp Object,No Shooting,Protected Employee,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
04A,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,"Assault means without lawful authority, the offender engages in conduct which places victim in reasonable apprehension of receiving a battery. - which means no battery",25837,Part I Violent,Assault,I,Other Weapon,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
04A,553,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,"Assault means without lawful authority, the offender engages in conduct which places victim in reasonable apprehension of receiving a battery. - which means no battery",1241,Part I Violent,Assault,I,Other Weapon,No Shooting,Police Officer,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
04A,558,ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,"Assault means without lawful authority, the offender engages in conduct which places victim in reasonable apprehension of receiving a battery. - which means no battery",1130,Part I Violent,Assault,I,Other Weapon,No Shooting,Protected Employee,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
04B,450,BATTERY,AGGRAVATED PO: HANDGUN,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",307,Part I Violent,Assault,I,Firearm,Firearm - Nonfatal Shooting,Police Officer,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
04B,451,BATTERY,AGGRAVATED PO: OTHER FIREARM,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",27,Part I Violent,Assault,I,Firearm,Firearm - Nonfatal Shooting,Police Officer,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
04B,480,BATTERY,AGG PRO.EMP: HANDGUN,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",128,Part I Violent,Assault,I,Firearm,Firearm - Nonfatal Shooting,Protected Employee,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
04B,481,BATTERY,AGG PRO.EMP: OTHER FIREARM,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",29,Part I Violent,Assault,I,Firearm,Firearm - Nonfatal Shooting,Protected Employee,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
04B,488,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDGUN,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",365,Part I Violent,Assault,I,Firearm,Firearm - Nonfatal Shooting,Domestic,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
